run_date,window_hours,verdict,n,hit_rate_pct,baseline_pct,hit_rate_minus_baseline,avg_return_pct
2026-08-29,1,bullish,55,61.8,49.8,12.0,0.114
2026-08-29,1,bearish,57,47.4,50.2,-2.8,0.038
2026-08-29,4,bullish,55,60.0,54.0,6.0,0.152
2026-08-29,4,bearish,57,63.2,46.0,17.2,0.088
2026-08-29,24,bullish,55,60.0,60.3,-0.3,0.486
2026-08-29,24,bearish,57,47.4,39.7,7.7,0.676
2026-08-29,1,bullish,23,69.6,50.3,19.3,0.127
2026-08-29,1,bearish,14,42.9,49.7,-6.9,0.101
2026-08-29,4,bullish,23,60.9,52.8,8.1,0.134
2026-08-29,4,bearish,14,42.9,47.2,-4.4,0.304
2026-08-29,24,bullish,23,82.6,56.5,26.1,1.108
2026-08-29,24,bearish,14,35.7,43.5,-7.8,0.597
2026-08-30,1,bullish,26,84.6,48.8,35.9,0.218
2026-08-30,1,bearish,10,40.0,51.2,-11.2,0.109
2026-08-30,4,bullish,26,73.1,49.4,23.7,0.38
2026-08-30,4,bearish,10,40.0,50.6,-10.6,0.274
2026-08-30,24,bullish,26,73.1,44.4,28.7,0.665
2026-08-30,24,bearish,10,40.0,55.6,-15.6,0.283
